datetime,temperature_C,swe_mm,precipitation_mm,pdd,swe_max,swe_max_date,ros
2025-01-01,-9.484516,332.51993,11.19871,0.0,767.299072265625,2025-04-23,0.0
2025-01-02,-7.283632,340.4321,4.8255057,0.0,767.299072265625,2025-04-23,0.0
2025-01-03,-6.283796,343.3186,1.6889054,0.0,767.299072265625,2025-04-23,0.0
2025-01-04,-8.873067,345.60208,2.9071698,0.0,767.299072265625,2025-04-23,0.0
2025-01-05,-10.642476,348.8507,3.2058115,0.0,767.299072265625,2025-04-23,0.0
2025-01-06,-13.374192,350.84262,0.2590164,0.0,767.299072265625,2025-04-23,0.0
2025-01-07,-12.699764,352.197,3.1968503,0.0,767.299072265625,2025-04-23,0.0
2025-01-08,-13.056675,355.04224,1.0164304,0.0,767.299072265625,2025-04-23,0.0
2025-01-09,-13.694847,355.25644,0.0,0.0,767.299072265625,2025-04-23,0.0
2025-01-10,-15.161938,355.25955,0.0021506895,0.0,767.299072265625,2025-04-23,0.0
2025-01-11,-15.1714735,355.2632,0.0008523463,0.0,767.299072265625,2025-04-23,0.0
2025-01-12,-14.845614,355.27286,0.0,0.0,767.299072265625,2025-04-23,0.0
2025-01-13,-15.437042,355.28452,0.0008612871,0.0,767.299072265625,2025-04-23,0.0
2025-01-14,-13.944127,355.29248,0.0025566383,0.0,767.299072265625,2025-04-23,0.0
2025-01-15,-12.009922,355.31543,0.06986216,0.0,767.299072265625,2025-04-23,0.0
2025-01-16,-11.834643,355.74133,1.8126743,0.0,767.299072265625,2025-04-23,0.0
2025-01-17,-10.765129,360.59067,5.0897303,0.0,767.299072265625,2025-04-23,0.0
2025-01-18,-9.845367,368.18857,11.370831,0.0,767.299072265625,2025-04-23,0.0
2025-01-19,-9.220317,381.77844,11.131721,0.0,767.299072265625,2025-04-23,0.0
2025-01-20,-9.681873,388.57443,5.341265,0.0,767.299072265625,2025-04-23,0.0
